,,,,,,
,,,,,,
,Order,Initiative,Initiative Flow,Priority,Must-have for Pilot,Comment
,1,Partner-aware patient onboarding,patient opens partner QR/link → app identifies partner clinic context → patient completes basic setup and consents → patient finishes guided onboarding → patient lands on main screen,Must-have,Yes,entry point into partner-distributed journey
,2,Patient Main Screen / Prep Hub,"patient opens app → lands on partner-aware main screen → sees appointment readiness and doctor follow-up state → understands next best action → continues preparation, opens doctor plan, or asks a diabetes-related question → returns to updated main screen",Must-have,Yes,core control center after onboarding
,3,Preparation checklist,patient opens checklist → sees required preparation steps → completes next step → checklist progress updates → patient returns to main screen or continues preparation,Must-have,Yes,key guidance layer for prep JTBD
,4,Add analysis / document intake,patient chooses to add analysis → selects camera / file / share-to-app → uploads document → system accepts document for preview and processing,Must-have,Yes,main input flow for patient data
,5,Document preview & quality check,patient reviews uploaded document → checks readability → adjusts if needed → confirms document is good enough → continues to OCR / save,Must-have,Yes,improves data quality before doctor review
,6,OCR review & correction,system extracts values → patient reviews OCR result → corrects unclear fields if needed → confirms structured result → data becomes ready for use,Should-have,No,required for structured prep value
,7,Analysis history / analysis card,patient opens history or analysis card → sees document + structured metrics → understands what is already stored and available for doctor prep,Must-have,Yes,useful part of patient prep and trust
,8,Access transparency & control,"patient sees access status → understands who has access, for how long, and recent activity → keeps trust in the flow",Should-have,No,"important trust layer, but access is already granted in this journey state"
,9,Doctor plan / requested analyses,patient receives doctor plan or request → opens plan from main screen → sees required analyses / next steps → chooses one item to complete,Must-have,Yes,core follow-up job after doctor review
,10,Upload result against doctor plan,patient opens requested item → uploads corresponding analysis → result is attached to the relevant plan item → completion status updates,Must-have,Yes,closes the loop between doctor request and patient action
,11,Patient notifications & action pages,patient receives reminder / request / plan notification → opens notification → lands on a clear action page → completes or reviews the needed step,Should-have,No,"useful accelerator, can be simplified in first pilot"
,12,Vasily Q&A / chat entry,patient opens Vasily from main screen → asks question by text or voice → receives trusted explanation / guidance → returns to preparation or learning path,Should-have,No,"supports support/knowledge job, not core prep proof"
,13,Diabetes school / knowledge support,patient enters diabetes school / knowledge area → explores relevant topic or assigned material → improves understanding → returns to main flow if needed,Nice-to-have,No,"valuable between visits, but not core for first pilot"
,14,Ready state / between-visit support,patient completes prep or current doctor request → main screen shows ready / no urgent tasks → patient either waits for next doctor action or uses knowledge support,Must-have,Yes,important reassurance and continuity state
